Airline,Airport,Serves,Nickname
"Southwest Airlines","Midway International Airport","Chicago",MDW
"Southwest Airlines","Cleveland Hopkins International Airport","Cleveland",CLE
"Southwest Airlines","John Glenn Columbus International Airport","Cleveland",CMH
"Southwest Airlines","Dallas Love Field","Dallas–Fort Worth–Arlington",DAL
"Southwest Airlines","Denver International Airport","Denver",DEN
"Southwest Airlines","Detroit Metropolitan Airport","Detroit",DTW
"Southwest Airlines","Fort Lauderdale–Hollywood International Airport","Greater Miami",FLL
"Southwest Airlines","Southwest Florida International Airport","Fort Myers",RSW
"Southwest Airlines","Greenville–Spartanburg International Airport","Upstate South Carolina",GSP
"Southwest Airlines","William P. Hobby Airport","Houston–The Woodlands–Sugar Land",HOU
"Southwest Airlines","Indianapolis International Airport","Indianapolis, Indiana",IND
"Southwest Airlines","Jacksonville International Airport","Jacksonville metropolitan area",JAX
"Southwest Airlines","Kansas City International Airport","Kansas City metropolitan area",MCI
"Southwest Airlines","McCarran International Airport","Las Vegas Valley",LAS
"Southwest Airlines","Los Angeles International Airport","Greater Los Angeles Area",LAX
"Southwest Airlines","General Mitchell International Airport","Milwaukee",MKE
"Southwest Airlines","Minneapolis–Saint Paul International Airport","Minneapolis",MSP
"Southwest Airlines","Louis Armstrong New Orleans International Airport","New Orleans",MSY
"Southwest Airlines","LaGuardia Airport","New York metropolitan area",LGA
"Southwest Airlines","Oakland International Airport","Bay Area",OAK
"Southwest Airlines","Orlando International Airport","Orlando, Florida",MCO
"Southwest Airlines","Philadelphia International Airport","Delaware Valley",PHL
"Southwest Airlines","Pittsburgh International Airport","Pittsburgh, Pennsylvania",PIT
"Southwest Airlines","Phoenix Sky Harbor International Airport","Phoenix metropolitan area",PHX
"Southwest Airlines","Punta Cana International Airport","Punta Cana, Higuey",PUJ
"Southwest Airlines","Raleigh–Durham International Airport","Research Triangle Metropolitan Region",RDU
"Southwest Airlines","Richmond International Airport","Central Virginia",RIC
"Southwest Airlines","St. Louis Lambert International Airport","Greater St. Louis",STL
"Southwest Airlines","San Antonio International Airport","Greater San Antonio",SAT
"Southwest Airlines","San Diego International Airport","Greater San Diego",SAN
"Southwest Airlines","Tampa International Airport","Tampa Bay Area",TPA
"Southwest Airlines","Washington Dulles International Airport","Washington metropolitan area",IAD
"Southwest Airlines","Ronald Reagan Washington National Airport","Washington metropolitan area",DCA
"Southwest Airlines","Palm Beach International Airport","Palm Beach County",PBI
"Southwest Airlines","Seattle–Tacoma International Airport","Seattle",SEA
"Spirit Airlines","Baltimore–Washington International Airport","Baltimore–Washington metropolitan area",BWI
"Spirit Airlines","Logan International Airport","Boston",BOS
"Spirit Airlines","O'Hare International Airport","Chicago",ORD
"Spirit Airlines","Cleveland Hopkins International Airport","Cleveland",CLE
"Spirit Airlines","Dallas/Fort Worth International Airport","Dallas–Fort Worth metroplex",DFW
"Spirit Airlines","Detroit Metropolitan Airport","Detroit",DTW
"Spirit Airlines","Fort Lauderdale–Hollywood International Airport","Greater Miami",FLL
"Spirit Airlines","George Bush Intercontinental Airport","Greater Houston",IAH
"Spirit Airlines","McCarran International Airport","Las Vegas Valley",LAS
"Spirit Airlines","Los Angeles International Airport","Greater Los Angeles Area",LAX
"Spirit Airlines","Minneapolis–Saint Paul International Airport","Minneapolis",MSP
"Spirit Airlines","Louis Armstrong New Orleans International Airport","New Orleans",MSY
"Spirit Airlines","Orlando International Airport","Orlando, Florida",MCO
"Spirit Airlines","Philadelphia International Airport","Delaware Valley",PHL
"Spirit Airlines","Tampa International Airport","Tampa Bay Area",TPA
"Spirit Airlines","Atlantic City International Airport","Atlantic City, New Jersey",ACY
"Spirit Airlines","Southwest Florida International Airport","Fort Myers",RSW
"Turkish Airlines","Istanbul Atatürk Airport","Istanbul",IST
"United Airlines","O'Hare International Airport","Chicago",ORD
"United Airlines","Denver International Airport","Denver",DEN
"United Airlines","George Bush Intercontinental Airport","Greater Houston",IAH
"United Airlines","Newark Liberty International Airport","New Jersey",EWR
"United Airlines","San Francisco International Airport","San Francisco Bay Area",SFO
"United Airlines","Washington Dulles International Airport","Washington metropolitan area",IAD
"United Express","O'Hare International Airport","Chicago",ORD
"United Express","Denver International Airport","Denver",DEN
"United Express","George Bush Intercontinental Airport","Greater Houston",IAH
"United Express","Newark Liberty International Airport","New Jersey",EWR
"United Express","Washington Dulles International Airport","Washington metropolitan area",IAD
"Vacation Express","Sangster International Airport","Montego Bay",MBJ
"Vacation Express","Punta Cana International Airport","Punta Cana, Higuey",PUJ
"Virgin Atlantic","Heathrow Airport","London",LHR
"Virgin Atlantic","Manchester Airport","Greater Manchester",MAN
