Name, Title
Kohl Gill,Doer! FinTech- AdTech and CleanTech Entrepreneur
Javier Rincon,Co-Founder & CPO at EquityX
Ori Netzer,Biz Dev at Telefonica Digital and Entrepreneur
Antonio Gonzalo,VP Corporate Development at Auction Mobility- Founder Lofty.com
Mark Lurie,Chief Partnership Officer & Counsellor at ReachIvy
Gaargi Desai,Founder & CEO
Will Hsu,Tech Lead / CTO. Curious entrepreneur.
Christian Hentschel,CTO
Josh Alley,Chief Token Officer & CEO
Alan Wunsche,Founder and CEO at Dwarves Foundation
Han Ngo,CTO @ Impala
Sofiane Taleb,CEO & Co-founder at Gladly
Alex Groth,Director & Space Systems engineer at Open Cosmos
Aleix Megias,Co-founder at Hackr.io
Saurabh Hooda,Head Of Operations
Justin Adler,CEO- Zero To One Labs
Arman Suleimenov,Founder & CEO at NUKERN INC. (Techstars Austin'17)
Phil Rivard,Co-Founder at Ajax Intel LLC
Arpan Soni,CEO of Yellow Card Financial- LLC
Chris Maurice,Domain Name Broker & Co-Founder- Evergreen.com
Jen Sale,CTO
Joseph White,Founder
Giovanni Casinelli,Founding Director at Jindal Centre for Social Innovation & Entrepreneurship (JSiE)
Jeremy Wade,Group Accountant at TrafficStars
Panagiotis Georgiou,Head of User Marketing
Sashidar Chakravarthi,Digital Marketing & Language Expert
Jay Neyer,Driven by People- What Unites Them and How to Connect Them
Leo Morejon,Software coder
