Name, Title
Tom Lehman,Cofounder and CEO- Genius
Jude Gomila,CEO and Founder at Golden
Kathleen Breitman,Cofounder and CEO of Tezos
Elena Silenok,Clothia- CEO
Robert Shedd,VP of Product- Grubhub
Jason Johnson,Founder & CEO of August
Jason Rosenthal,CEO- Lytro
Sajith Wickramasekara,CEO and Co-founder at Benchling
Andy Yang,CEO of 500px
